Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Museum of Modern Art in NYC ,2,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.723,134,548168.2999999523,,p,K,1706.5,552140.5999999046,HRV,HRV_0149,2022-11-30 18:11:41
Broccoli! ,6,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.067,135,552140.5999999046,,p,K,2189.4000000953674,555924.1999998093,HRV,HRV_0149,2022-11-30 18:11:41
The Super Bowl ,7,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,0.993,136,555924.1999998093,,q,S,2182.300000190735,559637.1999998093,HRV,HRV_0149,2022-11-30 18:11:41
George Washington,2,Who is pictured on a US Purple Heart medal? ,368,1.071,137,559637.2999999523,,p,K,2007.5,563240.7999999523,HRV,HRV_0149,2022-11-30 18:11:41
The evacuation of Saigon,2,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?",6,0.759,138,563240.7999999523,,p,K,1598.5,566121.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
American Pie,2,What was the name of the plane Buddy Holly died in?  ,289,1.74,139,566121.2999999523,,p,K,2199.899999856949,570587.5999999046,HRV,HRV_0149,2022-11-30 18:11:41
Gary Busey,3,What actor campaigned against helmet laws until he was almost killed in a helmetless 1988 motorcycle accident?,127,0.901,140,570587.5999999046,,p,K,1975.4000000953674,573985.6999998093,HRV,HRV_0149,2022-11-30 18:11:41
Roulette,6,What game was created by French mathematician Blaise Pascal when he was experimenting with perpetual motion? ,182,1.299,141,573985.6999998093,,p,K,2580.4000000953674,578397.7999999523,HRV,HRV_0149,2022-11-30 18:11:41
Ear ,2,"The pinna is the outer, visible part of what?",103,1.462,142,578397.7999999523,,p,K,1734.7999999523163,582116.899999857,HRV,HRV_0149,2022-11-30 18:11:41
The Millenium Falcon ,5,"What could be built by the largest Lego set ever sold, a 5195-piece monstrosity? ",156,0.826,143,582117.0,,p,K,1797.2999999523163,585272.7999999523,HRV,HRV_0149,2022-11-30 18:11:41
Green Eggs and Ham,6,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.059,144,585272.899999857,,p,K,2923.5,589773.5999999046,HRV,HRV_0149,2022-11-30 18:11:41
Patch Addams ,3,"What doctor, whose life was fictionalized in a 1998 film, founded the Gesundheit! Institute and named his oldest son ""Atomic Zagnut""?",166,1.88,145,589773.5999999046,,p,K,2907.0,595092.6999998093,HRV,HRV_0149,2022-11-30 18:11:41
The Notorious BIG,3,"Who released only a single album during his lifetime, the ominously named Ready to Die? ",373,0.89,146,595092.7999999523,,p,K,1980.2000000476837,598472.7999999523,HRV,HRV_0149,2022-11-30 18:11:41
Abraham Lincoln ,4,"What president has three ""A's"" in his first name, each of which has a different sound? ",246,1.487,147,598472.7999999523,,p,K,1892.0999999046326,602379.0999999046,HRV,HRV_0149,2022-11-30 18:11:41
